spell,old20,bnc,subtlex
aft,1.4,190,156
after,1.7,117138,27459
afters,1.8,21,3
aftus,2.05,0,0
again,1.9,56231,39144
against,2.9,56208,9977
agape,1.85,84,0
agar,1.9,47,0
agate,1.75,30,2
agates,1.8,5,1
agbuct,2.95,0,0
age,1.05,21857,3772
aged,1.45,4703,163
ageing,1.95,1265,17
ageless,2.4,43,15
agelier,2.8,0,0
agemess,2.85,0,0
agent,1.8,4348,2519
agents,1.9,3754,979
ages,1.2,3667,468
agfor,2.4,0,0
agfors,2.65,0,0
aggect,2.75,0,0
aggess,2.15,0,0
aggey,2,0,0
aggeys,2.3,0,0
aggraimed,3.55,0,0
aggraims,3.6,0,0
aggrieve,3.05,3,0
aggrieved,3.15,268,9
aggro,2.6,81,1
aggrues,2.75,0,0
aghast,2.8,170,7
aghect,2.75,0,0
aghonced,3.3,0,0
agift,2,0,0
agile,2,154,18
agims,1.95,0,0
agin,1.85,16,21
agincts,2.95,0,0
agive,1.8,0,0
agix,1.95,0,0
agler,1.9,0,0
aglow,1.9,41,23
ago,1.6,19810,14580
agog,1.95,30,6
agok,1.85,0,0
agope,1.95,0,0
agree,1.9,8181,3269
agreed,1.9,14692,1598
agrees,1.9,949,217
agright,2.4,0,0
aground,2.6,80,25
agshess,2.75,0,0
agstess,2.65,0,0
agtrain,2.65,0,0
agtrained,2.75,0,0
ague,1.8,32,2
agues,1.85,4,0
agur,1.85,0,0
ah,1.15,10091,750
aha,1.85,2583,29
ahead,1.95,6309,10049
ahoits,2,0,0
ahokes,1.95,0,0
ahor,1.9,0,0
ahord,1.95,0,0
ahords,1.95,0,0
ahoy,2,28,31
ahries,2,0,0
ahun,1.95,0,0
aice,1.55,0,0
aices,1.7,0,0
aicipes,2.9,0,0
aid,1,8607,613
aide,1.35,277,87
aided,1.5,634,30
aides,1.4,218,32
aiding,1.5,164,36
aids,1.25,3227,41
aier,1.75,0,0
aight,1.35,0,1
aights,1.5,0,0
ail,1,68,11
ailed,1.1,7,2
ailing,1.1,261,26
ailment,2.2,65,26
ailments,2.4,207,31
ailpay,2.85,0,0
ailpays,2.8,0,0
ails,1.15,16,39
aim,1.35,6448,576
aimed,1.6,3572,98
aiming,1.6,1007,190
aimless,1.85,66,13
aims,1.55,4207,55
ainfogue,3.85,0,0
ainlibes,2.9,0,0
ains,1.15,0,0
aints,1.45,0,0
aipse,1.95,0,0
aipsed,2,0,0
air,1.35,19076,6023
airbase,2.65,48,5
airbed,1.9,5,0
airborne,3,437,169
airbrake,2.95,52,0
airbrakes,3.05,77,0
airbus,2.45,198,0
airclaps,3.15,0,0
airclime,3.1,0,0
airclimes,3.2,0,0
airclip,2.95,0,0
aircraft,3.35,6203,433
aircrew,2.75,100,1
aircrews,2.8,25,0
aircul,2.8,0,0
airdess,2.55,0,0
airdraw,2.9,0,0
airdraws,2.9,0,0
airdrome,2.85,0,2
airdrop,2.75,9,2
airdrops,2.7,23,0
aired,1.45,173,45
airedale,2.85,41,1
airfield,2.85,617,86
airfields,3.2,197,7
airflails,3.7,0,0
airflift,3.3,0,0
airflow,3.15,58,5
airforce,3.05,104,6
airframe,2.9,132,0
airframes,3.1,44,0
airgroin,3.3,0,0
airguild,3.55,0,0
airguilds,3.8,0,0
airgun,2.55,14,0
airguns,2.7,9,0
airier,1.85,7,0
airing,1.45,201,32
airless,2,53,5
airlift,2.75,113,10
airlifts,2.8,17,0
airline,2,1070,311
airlines,2.1,922,66
airlock,2.65,68,37
airlocks,2.7,16,1
airmail,2.95,63,14
airman,2,104,9
airmen,1.95,163,31
airn,1.75,0,0
airnos,2.55,0,0
airplane,2.55,79,507
airplanes,2.55,29,151
airplop,3.35,0,0
airport,2.7,2920,1710
airports,2.7,413,67
airs,1.45,138,37
airscrew,3.3,4,0
airshall,3.3,0,0
airship,2.6,76,30
airships,2.65,39,3
airsick,2.9,2,15
airsouth,3.6,0,0
airspace,3.05,119,81
airspeed,3.3,89,18
airstares,3,0,0
airstash,3.45,0,0
airstay,2.85,0,1
airstrip,3.3,83,55
airstrips,3.25,21,3
airstrums,3.65,0,0
airtight,2.9,68,52
airway,2.25,122,72
airways,2.55,730,13
airy,1.6,260,16
aisle,1.85,468,343
aisles,1.9,194,37
aistnale,3.4,0,0
aists,1.8,0,0
aitch,1.7,15,0
aitches,1.7,13,0
aiths,1.95,0,0
aits,1,0,0
aive,1.45,0,2
aives,1.5,0,0
aize,1.75,0,0
ajar,1.85,133,23
ajeqous,3.25,0,0
ajoin,1.9,0,0
akcul,2.85,0,0
akde,1.95,0,0
akes,1.1,0,1
akhs,1.95,0,0
akin,1.85,420,13
akrade,2.5,0,0
al,1.05,1357,144
alack,1.75,5,3
alade,1.85,0,0
alamp,1.9,0,0
alap,1.7,0,0
alarm,1.95,2337,1422
alarmed,2,738,150
alarms,1.95,388,152
alas,1.65,655,53
alaves,1.85,0,0
alawn,1.95,0,0
alb,1.75,19,0
albole,2.6,0,0
albolls,2.85,0,0
albs,1.75,2,0
album,2.25,2167,488
albums,2.45,452,118
albust,2.4,0,0
alcas,1.9,0,0
alcimin,3,0,0
alcirans,3.35,0,0
alcove,2.5,151,16
alcoves,2.65,35,2
alder,1.7,151,2
alders,1.8,35,3
aldims,2.45,0,0
ale,1,663,183
alehouse,2.7,44,1
alert,1.9,1600,882
alerts,1.9,61,13
ales,1,108,5
alesray,3,0,0
alfives,2.6,0,0
